SKU,CategoryCode,SKUStatus,SupplierNumber
1204346,370,Discontinued,5446
1204353,370,Discontinued,5446
1204361,370,Discontinued,5446
1204379,370,Discontinued,5446
1204387,370,Discontinued,5446
1204395,370,Discontinued,5446
1204403,370,Discontinued,5446
1204429,370,Discontinued,5446
1204437,370,Discontinued,5446
1204452,370,Discontinued,5446
1204510,370,Discontinued,5446
1204536,370,Discontinued,5446
1204593,370,Discontinued,5446
1204619,370,Discontinued,5446
1204635,370,Discontinued,5446
1204700,370,Discontinued,5446
1204734,370,Discontinued,5446
1204742,370,Discontinued,5446
1204759,370,Discontinued,5446
1209949,370,Discontinued,2044
1210002,370,Active,88111
1210003,370,Active,88111
1210005,370,Active,88111
1210006,370,Active,88111
1210007,370,Active,88111
1210009,370,Active,88111
1210010,370,Active,88111
1210111,370,Discontinued,2044
1220008,370,Discontinued,24021
1220022,370,Discontinued,24021
1220029,370,Active,94560
1220030,370,Active,45604
1220031,370,Active,45604
1220032,370,Active,45604
1220033,370,Active,45604
1220034,370,Discontinued,1297
1220045,370,Active,94560
1220060,370,Pre Active,94560
1220383,370,Active,1852
1220987,370,Active,51726
1220995,370,Active,51726
1221118,370,Active,45604
1221555,370,Active,45604
1222173,370,Active,45604
1222447,370,Active,94560
1240024,370,Pre Active,3265
1240028,370,Discontinued,3265
1240036,370,Discontinued,30825
1240037,370,Active,3265
1240038,370,Active,3265
1240039,370,Active,3265
1240044,370,Active,3265
1240047,370,Pre Active,3265
1240048,370,Discontinued,3265
1240063,370,Discontinued,3265
1240065,370,Pre Active,3265
1242296,370,Active,30825
1249531,370,Active,3265
1249549,370,Active,3265
1249556,370,Active,3265
1249564,370,Discontinued,3265
1249572,370,Discontinued,3265
1249598,370,Active,3265
1249655,370,Pre Active,3265
1249663,370,Discontinued,3265
1249713,370,Discontinued,3265
1249721,370,Active,3265
1249739,370,Active,3265
1249747,370,Active,3265
1249754,370,Active,3265
1249762,370,Pre Active,3265
1249796,370,Active,3265
1249804,370,Active,3265
1249812,370,Active,3265
1249820,370,Pre Active,3265
1249838,370,Active,3265
1249846,370,Pre Active,3265
1249887,370,Active,3265
1249895,370,Discontinued,3265
1249903,370,Active,3265
1250002,370,Discontinued,51726
1250003,370,Active,51726
1250004,370,Discontinued,51726
1250007,370,Discontinued,51726
1250008,370,Active,51726
1250009,370,Active,51726
1250023,370,Discontinued,1675
1250028,700,Pre Active,11661
1250029,700,Active,5446
1250032,370,Active,3265
1250033,370,Active,3265
1250040,370,Discontinued,1913
1250043,370,Discontinued,1913
1250051,370,Discontinued,1971
1250058,370,Pre Active,5446
1250060,370,Pre Active,5446
1250061,370,Pre Active,5446
1250062,370,Pre Active,5446
1250065,370,Discontinued,1675
1250068,370,Active,52070
1250086,370,Active,16934
1250087,370,Active,16934
1250088,370,Active,16934
1250090,370,Active,11661
1250092,370,Active,11661
1250093,370,Active,11661
1250094,370,Active,11661
1250095,370,Active,11661
1250101,370,Active,11661
1250105,370,Active,5446
1250106,370,Active,51726
1250107,370,Active,3265
1250111,370,Discontinued,3265
1250112,370,Discontinued,3265
1250620,370,Active,16934
